Subject,recent_mean,recent_count,slope,risk_score,flight_risk
MAPP ATC Posting Website,0.0,2,0.0,-0.0,False
MAPP Loss Matrix,0.0,1,0.0,-0.0,False
Mass time correction,0.0,1,0.0,-0.0,False
Meeting and Business Reports,0.0,1,0.0,-0.0,False
Membership information you requested,0.0,1,0.0,-0.0,False
Michael Byrne-Real Time Trader,0.0,1,0.0,-0.0,False
Mid-Year PRC,0.0,1,0.0,-0.0,False
Midwest/Southeast Desk Meeting w/Fletch Sturm,0.0,1,0.0,-0.0,False
"Mobile Energy Services Company, L.L.C.",0.0,1,0.0,-0.0,False
NBPL Town Border Stations,0.0,1,0.0,-0.0,False
NEED COMMENTS-Dynegy v. ComEd response,0.0,1,0.0,-0.0,False
Needs Improvement Managers and Directors,0.0,1,0.0,-0.0,False
New Team,0.0,1,0.0,-0.0,False
New Years,0.0,1,0.0,-0.0,False
New price reporters at TradersNews,0.0,1,0.0,-0.0,False
No trades with PG&E,0.0,1,0.0,-0.0,False
OU Presentation,0.0,1,0.0,-0.0,False
Oldy but goody,1.0,1,0.0,-1.0,False
"Out of the Office - Friday, October 20",0.0,1,0.0,-0.0,False
POWER REVIEW,0.0,1,0.0,-0.0,False
PRC,0.0,1,0.0,-0.0,False
PRC Pre-ratings,0.0,1,0.0,-0.0,False
Peggy Hedstrom,0.0,1,0.0,-0.0,False
Performance Management Process - New Password,0.0,1,0.0,-0.0,False
"Phone Interview Confirmation - Monday, April 30, 2001 - Steven
 Coulter",0.0,1,0.0,-0.0,False
Phone numbers,0.0,1,0.0,-0.0,False
Pick Ups,0.0,1,0.0,-0.0,False
Potential employment opportunities with Enron,1.0,1,0.0,-1.0,False
Prudency Release,0.0,1,0.0,-0.0,False
Quick Tips for the UBSWE migration,0.0,1,0.0,-0.0,False
Quick and Easy Renewal Form for CFO Magazine,0.0,2,0.0,-0.0,False
RE:,0.0,3,0.0,-0.0,False
RE: Cold winter ahead for Owens-Corning,0.0,1,0.0,-0.0,False
RE: Corruption Test,0.0,1,0.0,-0.0,False
RE: Dad's Birthday,0.0,1,0.0,-0.0,False
RE: Favor,0.0,1,0.0,-0.0,False
RE: Good Morning,1.0,1,0.0,-1.0,False
RE: Honeymoon Itinerary,0.0,2,0.0,-0.0,False
RE: Thursday,0.0,1,0.0,-0.0,False
RE: TradersNews,0.0,1,0.0,-0.0,False
RE: Transmission Agreements Meeting Tues. Jan. 29 10:00 a.m.,0.0,1,0.0,-0.0,False
RE: Travis Baughman's Resume,0.0,1,0.0,-0.0,False
RE: data,0.0,1,0.0,-0.0,False
RE: friday,0.0,1,0.0,-0.0,False
REK TX Uprising Concert @ Woodlands,0.0,1,0.0,-0.0,False
Rap mtg. Schedule,0.0,1,0.0,-0.0,False
Re :  (#7482-000998-38589983858),0.0,1,0.0,-0.0,False
Re:,0.0,7,0.0,-0.0,False
Re: ASE,0.0,1,0.0,-0.0,False
Re: Access to Cost Center,0.0,1,0.0,-0.0,False
Re: Admin Issues,0.0,1,0.0,-0.0,False
Re: Astral downtime request,0.0,1,0.0,-0.0,False
Re: Astros Tickets,0.0,1,0.0,-0.0,False
Re: BABY!,0.0,1,0.0,-0.0,False
Re: CUSTOMER REQUESTED CANCEL,0.0,1,0.0,-0.0,False
Re: Check it out!,0.0,1,0.0,-0.0,False
Re: Contract,0.0,1,0.0,-0.0,False
Re: Deal # QX4420,0.0,1,0.0,-0.0,False
Re: Dinner on Friday?,0.0,1,0.0,-0.0,False
Re: Do you want to reschedule a catch up ?,0.0,1,0.0,-0.0,False
Re: ENE,0.0,2,0.0,-0.0,False
Re: ENSIDE,0.0,1,0.0,-0.0,False
Re: Expense Reports,0.0,1,0.0,-0.0,False
Re: Fw: Winning the cultural war,0.0,1,0.0,-0.0,False
Re: Game @ 7:00,0.0,2,0.0,-0.0,False
Re: Game tonight,0.0,1,0.0,-0.0,False
Re: Global Operations Controllers Forum,0.0,1,0.0,-0.0,False
Re: Gonzalez,0.0,1,0.0,-0.0,False
Re: HP -- confidential internal document,0.0,1,0.0,-0.0,False
Re: How About Lunch?,0.0,1,0.0,-0.0,False
Re: I need your phone # to help your debt problem. [h7gmu],-1.0,1,0.0,1.0,True
Re: Lunch,0.0,1,0.0,-0.0,False
Re: Lunch w/ Cindy Olson,0.0,1,0.0,-0.0,False
Re: Missing TAGG Deals Meeting,0.0,1,0.0,-0.0,False
Re: Mtg w/ Sally Beck,0.0,1,0.0,-0.0,False
Re: New Book,0.0,1,0.0,-0.0,False
Re: Power Trader Position,0.0,1,0.0,-0.0,False
Re: Resume,0.0,1,0.0,-0.0,False
Re: The Pictures,0.0,1,0.0,-0.0,False
Re: Travis Resume,0.0,1,0.0,-0.0,False
Re: Tuberville,0.0,1,0.0,-0.0,False
Re: Visit,0.0,1,0.0,-0.0,False
Re: Welcome to www.har.com! (4),0.0,1,0.0,-0.0,False
Re: anniversary,0.0,1,0.0,-0.0,False
Re: basketball leauge,0.0,1,0.0,-0.0,False
Re: bus top,0.0,1,0.0,-0.0,False
Re: dinner,0.0,1,0.0,-0.0,False
Re: faulk,0.0,1,0.0,-0.0,False
Re: promotion,0.0,1,0.0,-0.0,False
Re: testing....,0.0,1,0.0,-0.0,False
Re: visit,0.0,1,0.0,-0.0,False
Re:Trading track questions,0.0,1,0.0,-0.0,False
Referral (w/resume),0.0,1,0.0,-0.0,False
"Reliant Energy Services, Inc.",0.0,1,0.0,-0.0,False
Renaissance Austin Hotel,0.0,1,0.0,-0.0,False
SCHEDULE DISCREP'S,0.0,1,0.0,-0.0,False
SCR Event Reporting,0.0,1,0.0,-0.0,False
Salon.com News By any means necessary,0.0,1,0.0,-0.0,False
Saturday night follow up,0.0,1,0.0,-0.0,False
Scary Flood Pic,0.0,1,0.0,-0.0,False
Services Presentation for Louise Kitchen,0.0,1,0.0,-0.0,False
Shiner BockToberFest:,0.0,1,0.0,-0.0,False
Special Enron Business Birthday Edition Now Online,0.0,1,0.0,-0.0,False
Split Rock Energy LLC,0.0,1,0.0,-0.0,False
"Subject:  Entergy OASIS outage between 01:00 and 05:00 CST on
 11/17/2001",0.0,1,0.0,-0.0,False
System outage nomination impact,0.0,2,0.0,-0.0,False
TNE Index info attached,0.0,1,0.0,-0.0,False
Taylor,0.0,1,0.0,-0.0,False
"Thanks for January 1, 2000",0.0,1,0.0,-0.0,False
Trade,0.0,2,0.0,-0.0,False
TradeSpark SO2 & OTC NOx MPI 01/25/01,0.0,1,0.0,-0.0,False
TradeSpark SO2 and OTC NOx MPI 02/23/01,0.0,2,0.0,-0.0,False
TradersNews market commentary attached,0.0,2,0.0,-0.0,False
TradersNews market info,0.0,1,0.0,-0.0,False
"TradersNews officially launches hourly indexes for ERCOT,
 ComEd/MAIN and TVA/SERC",0.0,1,0.0,-0.0,False
TradersNews: Confirmation Request when possible,0.0,1,0.0,-0.0,False
Trading Track PRC Evaluations due today,0.0,1,0.0,-0.0,False
Triple Lutz Notes,0.0,1,0.0,-0.0,False
"UBSW Orientation - Thursday. For those that did not attend the
 Houstonian Sessions",0.0,1,0.0,-0.0,False
UT Business Leadership Conference,0.0,1,0.0,-0.0,False
Update to Merger Q&A,0.0,1,0.0,-0.0,False
Updated template,0.0,1,0.0,-0.0,False
Utility Term Sheet Form 1,0.0,1,0.0,-0.0,False
"Vacation - March 2, 3, and 6th",0.0,1,0.0,-0.0,False
Vacation/Paternity Leave Scheduled,-1.0,1,0.0,1.0,True
Vermont Yankee Notification,0.0,1,0.0,-0.0,False
Vermont Yankee Notification Update.,0.0,1,0.0,-0.0,False
WH DATA,0.0,1,0.0,-0.0,False
Weekend PEP Support,0.0,1,0.0,-0.0,False
Weekly Focus on Commercialization of Services,0.0,1,0.0,-0.0,False
Williams Customer First site,0.0,1,0.0,-0.0,False
"You're so money, baby",0.0,1,0.0,-0.0,False
\\GTROS-FS01P\APPSRW,0.0,1,0.0,-0.0,False
clarksdale generation,0.0,1,0.0,-0.0,False
computer wallpaper- must have,0.0,1,0.0,-0.0,False
data,0.0,1,0.0,-0.0,False
eService Online New Member Information,0.0,1,0.0,-0.0,False
eValueMarketing  - N60 Cancellation,0.0,1,0.0,-0.0,False
energynewslive.com,0.0,1,0.0,-0.0,False
ffl dues,0.0,1,0.0,-0.0,False
for our meeting this morning,0.0,1,0.0,-0.0,False
what's up (or down) in Cin markets,0.0,1,0.0,-0.0,False
